"lon","lat","dong"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.049164535,37.559959748,"사근동"
127.068055309,37.549945722,"송정동"
127.061530705,37.561260618,"용답동"
127.061530705,37.561260618,"용답동"
127.037599861,37.564150319,"행당제1동"
127.037599861,37.564150319,"행당제1동"
127.036074905,37.564811127,"왕십리도선동"
127.036074905,37.564811127,"왕십리도선동"
NA,NA,"행당제1동"
127.035492522,37.562075133,"왕십리도선동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.035711755,37.567361758,"마장동"
127.025528534,37.567884763,"왕십리도선동"
127.030361475,37.565000552,"왕십리도선동"
127.049077799,37.545072255,"성수1가제2동"
127.049077799,37.545072255,"성수1가제2동"
127.049077799,37.545072255,"성수1가제2동"
127.068055309,37.549945722,"송정동"
127.068055309,37.549945722,"송정동"
127.061530705,37.561260618,"용답동"
127.061530705,37.561260618,"용답동"
127.030340133,37.552801941,"응봉동"
127.030340133,37.552801941,"응봉동"
127.037599861,37.564150319,"행당제1동"
127.037599861,37.564150319,"행당제1동"
127.037599861,37.564150319,"행당제1동"
127.037599861,37.564150319,"행당제1동"
127.037599861,37.564150319,"행당제1동"
127.037599861,37.564150319,"행당제1동"
127.037599861,37.564150319,"행당제1동"
127.036074905,37.564811127,"왕십리도선동"
127.036074905,37.564811127,"왕십리도선동"
127.040554565,37.558709272,"사근동"
127.030366898,37.564712575,"왕십리도선동"
127.049156175,37.548639018,"성수1가제2동"
127.017657685,37.542811946,"옥수동"
127.017657685,37.542811946,"옥수동"
127.017657685,37.542811946,"옥수동"
127.017657685,37.542811946,"옥수동"
127.017657685,37.542811946,"옥수동"
NA,NA,"행당제1동"
NA,NA,"행당제1동"
NA,NA,"행당제1동"
NA,NA,"행당제2동"
NA,NA,"행당제2동"
127.020990738,37.553206951,"금호2.3가동"
127.017080398,37.548508547,"금호2.3가동"
127.026026606,37.548427833,"금호1가동"
127.026101891,37.548848356,"금호1가동"
127.02624251,37.549286927,"금호1가동"
127.062616886,37.540364872,"성수2가제3동"
127.062616886,37.540364872,"성수2가제3동"
127.040688364,37.558998179,"사근동"
127.040372512,37.559552027,"사근동"
127.040372512,37.559552027,"사근동"
127.040372512,37.559552027,"사근동"
127.040372512,37.559552027,"사근동"
127.040905982,37.560052598,"사근동"
127.041019485,37.560370872,"사근동"
127.041041955,37.560498655,"사근동"
127.041084292,37.560664558,"사근동"
127.041084292,37.560664558,"사근동"
127.041200111,37.560918612,"사근동"
127.041295707,37.561276304,"사근동"
127.040443051,37.558589973,"사근동"
127.016984773,37.545354822,"옥수동"
127.016984773,37.545354822,"옥수동"
127.02952448,37.567352753,"왕십리도선동"
127.030358248,37.56792928,"왕십리도선동"
127.048740586,37.548610806,"성수1가제2동"
127.048263252,37.548921506,"성수1가제2동"
127.048369235,37.54861797,"성수1가제2동"
127.048307884,37.548733549,"성수1가제2동"
127.04811647,37.549356412,"성수1가제2동"
127.057126525,37.545146543,"성수2가제3동"
127.057126525,37.545146543,"성수2가제3동"
127.057126525,37.545146543,"성수2가제3동"
127.057126525,37.545146543,"성수2가제3동"
127.057126525,37.545146543,"성수2가제3동"
127.020463224,37.548522319,"금호2.3가동"
127.018396266,37.54854444,"금호2.3가동"
