"ym_quarter","dong","office_num","m_office_num","f_office_num","age_20_under_office_num","age_30_office_num","age_40_office_num","age_50_office_num","age_60_over_office_num"
20241,"금호2.3가동",238,132,106,23,35,58,59,63
20241,"왕십리도선동",2960,1359,1601,490,569,619,733,549
20241,"응봉동",419,177,242,101,110,89,76,43
20241,"송정동",720,467,253,89,177,189,148,117
20241,"성수2가제3동",40575,25998,14577,6729,10329,10153,8152,5212
20241,"사근동",324,243,81,5,56,119,106,38
20241,"마장동",6039,4290,1749,487,1069,1386,2007,1090
20241,"행당제1동",1334,918,416,164,282,346,388,154
20241,"금호4가동",419,249,170,52,95,117,100,55
20241,"금호1가동",1330,486,844,162,438,542,155,33
20241,"성수1가제1동",2207,1375,832,274,467,495,593,378
20241,"성수2가제1동",7294,4668,2626,1706,2131,1695,1190,572
20241,"성수1가제2동",4957,3435,1522,790,1011,1047,1084,1025
20241,"행당제2동",3,0,3,0,1,1,1,0
20241,"옥수동",4558,1770,2788,1170,1349,1030,689,320
20241,"왕십리제2동",1014,623,391,120,270,298,233,93
20241,"용답동",2774,1712,1062,722,796,574,430,252
20242,"금호2.3가동",238,132,106,23,35,58,59,63
20244,"금호1가동",1732,633,1099,210,574,709,199,40
20244,"사근동",438,330,108,6,73,161,145,53
20244,"옥수동",3197,1245,1952,823,948,719,483,224
20244,"성수2가제3동",31123,19941,11182,5165,7926,7782,6246,4004
20244,"송정동",748,488,260,83,184,205,156,120
20244,"용답동",2556,1592,964,667,747,528,391,223
20244,"행당제1동",1709,1189,520,196,364,447,511,191
20244,"성수1가제1동",3325,2072,1253,412,704,746,896,567
20244,"왕십리도선동",3005,1379,1626,494,575,631,748,557
20244,"마장동",6924,4974,1950,526,1228,1600,2331,1239
20244,"응봉동",542,224,318,131,143,118,96,54
20244,"행당제2동",3,0,3,0,1,1,1,0
20244,"금호4가동",507,307,200,59,118,145,124,61
20244,"왕십리제2동",1287,798,489,142,356,385,298,106
20244,"금호2.3가동",244,149,95,14,32,62,63,73
