"ym_quarter","dong","rent"
20231,"금호1가동",161099
20231,"금호2.3가동",169363
20231,"금호4가동",247148
20231,"마장동",170732
20231,"사근동",320184
20231,"성수1가제1동",197818
20231,"성수1가제2동",258187
20231,"성수2가제1동",196739
20231,"성수2가제3동",203812
20231,"송정동",190125
20231,"옥수동",195159
20231,"왕십리도선동",203824
20231,"왕십리제2동",181907
20231,"용답동",129943
20231,"응봉동",286227
20231,"행당제1동",224350
20231,"행당제2동",211680
20232,"금호1가동",165635
20232,"금호2.3가동",183309
20232,"금호4가동",238589
20232,"마장동",165478
20232,"사근동",358070
20232,"성수1가제1동",224435
20232,"성수1가제2동",285984
20232,"성수2가제1동",224887
20232,"성수2가제3동",233531
20232,"송정동",279367
20232,"옥수동",324194
20232,"왕십리도선동",239674
20232,"왕십리제2동",209598
20232,"용답동",126114
20232,"응봉동",296341
20232,"행당제1동",226068
20232,"행당제2동",192822
20233,"금호1가동",184490
20233,"금호2.3가동",179505
20233,"금호4가동",221042
20233,"마장동",155919
20233,"사근동",284256
20233,"성수1가제1동",211916
20233,"성수1가제2동",243256
20233,"성수2가제1동",187660
20233,"성수2가제3동",210446
20233,"송정동",182075
20233,"옥수동",236472
20233,"왕십리도선동",198735
20233,"왕십리제2동",167918
20233,"용답동",119463
20233,"응봉동",263989
20233,"행당제1동",211703
20233,"행당제2동",181537
20234,"금호1가동",179939
20234,"금호2.3가동",164627
20234,"금호4가동",185407
20234,"마장동",146886
20234,"사근동",265502
20234,"성수1가제1동",184395
20234,"성수1가제2동",233783
20234,"성수2가제1동",163426
20234,"성수2가제3동",200762
20234,"송정동",169745
20234,"옥수동",222394
20234,"왕십리도선동",198602
20234,"왕십리제2동",153810
20234,"용답동",117074
20234,"응봉동",149194
20234,"행당제1동",175756
20234,"행당제2동",174233
20241,"금호1가동",151253
20241,"금호2.3가동",141475
20241,"금호4가동",162331
20241,"마장동",139269
20241,"사근동",193654
20241,"성수1가제1동",168044
20241,"성수1가제2동",210704
20241,"성수2가제1동",141089
20241,"성수2가제3동",178275
20241,"송정동",142280
20241,"옥수동",195697
20241,"왕십리도선동",184699
20241,"왕십리제2동",142977
20241,"용답동",115146
20241,"응봉동",131319
20241,"행당제1동",147206
20241,"행당제2동",181856
20242,"금호1가동",121496
20242,"금호2.3가동",122676
20242,"금호4가동",130106
20242,"마장동",113491
20242,"사근동",142698
20242,"성수1가제1동",116148
20242,"성수1가제2동",163250
20242,"성수2가제1동",99607
20242,"성수2가제3동",157620
20242,"송정동",95595
20242,"옥수동",128260
20242,"왕십리도선동",154104
20242,"왕십리제2동",108598
20242,"용답동",121787
20242,"응봉동",105835
20242,"행당제1동",149223
20242,"행당제2동",135405
20243,"금호1가동",95382
20243,"금호2.3가동",108182
20243,"금호4가동",146499
20243,"마장동",109986
20243,"사근동",136773
20243,"성수1가제1동",115174
20243,"성수1가제2동",156603
20243,"성수2가제1동",91239
20243,"성수2가제3동",157910
20243,"송정동",101119
20243,"옥수동",133368
20243,"왕십리도선동",153993
20243,"왕십리제2동",106072
20243,"용답동",119069
20243,"응봉동",67478
20243,"행당제1동",172644
20243,"행당제2동",133271
20244,"금호1가동",105721
20244,"금호2.3가동",109836
20244,"금호4가동",151448
20244,"마장동",117581
20244,"사근동",126023
20244,"성수1가제1동",113384
20244,"성수1가제2동",152168
20244,"성수2가제1동",91114
20244,"성수2가제3동",157926
20244,"송정동",109474
20244,"옥수동",132307
20244,"왕십리도선동",144794
20244,"왕십리제2동",113270
20244,"용답동",122047
20244,"응봉동",64796
20244,"행당제1동",170098
20244,"행당제2동",128315
