"id","ym","duration_cat","sales_amt_cat","sales_cnt_cat","unique_cust_cat","aov_cat","ind_sales_amt_rat","ind_sales_cnt_rat","ind_rank_rat","ind_cancel_rat","has_dlv_cat","m_rat","f_rat","age_20_under_rat","age_30_rat","age_40_rat","age_50_rat","age_60_over_rat","m_20_under_rat","m_30_rat","m_40_rat","m_50_rat","m_60_over_rat","f_20_under_rat","f_30_rat","f_40_rat","f_50_rat","f_60_over_rat","re_cust_rat","new_cust_rat","resid_cust_rat","office_cust_rat","move_cust_rat","is_brand","big_ind","dong"
"04393D7C92","2023-05-01",4,4,4,4,3,50.1,23.3,37.7,9.5,0,51.6,48.4,21,29.6,19.8,24.3,5.3,10.836,15.2736,10.2168,12.5388,2.7348,10.164,14.3264,9.5832,11.7612,2.5652,18.55,5.65,50,20,30,1,"한식음식점","왕십리제2동"
"04393D7C92","2023-10-01",3,4,4,4,3,61.3,22.4,41.6,11.5,0,53.9,46.1,17.9,28.7,19.7,24,9.7,9.6481,15.4693,10.6183,12.936,5.2283,8.2519,13.2307,9.0817,11.064,4.4717,21.63,7.69,76.9,11.5,11.5,1,"한식음식점","왕십리제2동"
"04393D7C92","2024-06-01",3,5,4,4,3,22.3,25.4,48.2,17.3,0,48.7487,51.3513,24.3,23.9,17.3,23.5,11.1,11.8341,11.6393,8.4251,11.4445,5.4057,12.4659,12.2607,8.8749,12.0555,5.6943,28.75,3.13,66.7,22.2,11.1,1,"한식음식점","왕십리제2동"
"04393D7C92","2024-11-01",3,4,4,4,3,29.6,29.1,50.8,16.9,0,44.3443,55.7557,25.4,27.8,14.8,23,9.1,11.2522,12.3154,6.5564,10.189,4.0313,14.1478,15.4846,8.2436,12.811,5.0687,29.2,8.03,55,5,40,1,"한식음식점","왕십리제2동"
"0507C6C859","2024-09-01",5,5,4,4,4,16.5,32.9,50.9,17.1,0,26.7732,73.1268,26.8,38.4,18.4,11.6,4.7,7.1824,10.2912,4.9312,3.1088,1.2596,19.6176,28.1088,13.4688,8.4912,3.4404,28.03,4.5,45.5,9.1,45.5,1,"패스트푸드점","금호1가동"
"0507C6C859","2024-12-01",5,5,5,5,4,3.9,3.8,55.8,20.2,0,23.7,76.3,23.6,42.8,18.5,10.6,4.5,5.5932,10.1436,4.3845,2.5122,1.0665,18.0068,32.6564,14.1155,8.0878,3.4335,25.97,1.73,25,0,75,1,"패스트푸드점","금호1가동"
"099CE5DB1F","2024-11-01",6,3,4,4,2,92.9,58.4,52.6,18.7,1,72.7727,27.3273,53.7,26.9,9,9,1.5,39.0399,19.5563,6.543,6.543,1.0905,14.6601,7.3437,2.457,2.457,0.4095,13.43,31.34,40.9,9.1,50,1,"한식음식점","사근동"
"09B5A19D91","2023-02-01",4,3,5,5,1,127.7,21,13.9,20.2,0,42.2,57.8,10.6,68.1,13.8,5.6,1.9,4.4732,28.7382,5.8236,2.3632,0.8018,6.1268,39.3618,7.9764,3.2368,1.0982,8.75,5.63,45.5,18.2,36.4,1,"호프-간이주점","금호4가동"
"0EE4BD7D7A","2024-02-01",3,4,3,3,5,85.6,112.8,26.3,20.1,0,37.2,62.8,26.5,32.7,21.8,11.7,7.3,9.858,12.1644,8.1096,4.3524,2.7156,16.642,20.5356,13.6904,7.3476,4.5844,32.23,5.5,31.3,34.3,34.3,1,"커피-음료","성수2가제3동"
"104031A6C2","2024-05-01",6,6,6,6,6,0,0,59.3,12.3,1,22.8456,77.3544,6.3,12.5,6.3,43.8,31.3,1.4364,2.85,1.4364,9.9864,7.1364,4.8636,9.65,4.8636,33.8136,24.1636,14.29,0,NA,NA,NA,1,"육류판매","마장동"
