"행정구역","2023년01월_총인구수","2023년01월_세대수","2023년01월_세대당 인구","2023년01월_남자 인구수","2023년01월_여자 인구수","2023년01월_남여 비율","2023년02월_총인구수","2023년02월_세대수","2023년02월_세대당 인구","2023년02월_남자 인구수","2023년02월_여자 인구수","2023년02월_남여 비율","2023년03월_총인구수","2023년03월_세대수","2023년03월_세대당 인구","2023년03월_남자 인구수","2023년03월_여자 인구수","2023년03월_남여 비율","2023년04월_총인구수","2023년04월_세대수","2023년04월_세대당 인구","2023년04월_남자 인구수","2023년04월_여자 인구수","2023년04월_남여 비율","2023년05월_총인구수","2023년05월_세대수","2023년05월_세대당 인구","2023년05월_남자 인구수","2023년05월_여자 인구수","2023년05월_남여 비율","2023년06월_총인구수","2023년06월_세대수","2023년06월_세대당 인구","2023년06월_남자 인구수","2023년06월_여자 인구수","2023년06월_남여 비율","2023년07월_총인구수","2023년07월_세대수","2023년07월_세대당 인구","2023년07월_남자 인구수","2023년07월_여자 인구수","2023년07월_남여 비율","2023년08월_총인구수","2023년08월_세대수","2023년08월_세대당 인구","2023년08월_남자 인구수","2023년08월_여자 인구수","2023년08월_남여 비율","2023년09월_총인구수","2023년09월_세대수","2023년09월_세대당 인구","2023년09월_남자 인구수","2023년09월_여자 인구수","2023년09월_남여 비율","2023년10월_총인구수","2023년10월_세대수","2023년10월_세대당 인구","2023년10월_남자 인구수","2023년10월_여자 인구수","2023년10월_남여 비율","2023년11월_총인구수","2023년11월_세대수","2023년11월_세대당 인구","2023년11월_남자 인구수","2023년11월_여자 인구수","2023년11월_남여 비율","2023년12월_총인구수","2023년12월_세대수","2023년12월_세대당 인구","2023년12월_남자 인구수","2023년12월_여자 인구수","2023년12월_남여 비율","2024년01월_총인구수","2024년01월_세대수","2024년01월_세대당 인구","2024년01월_남자 인구수","2024년01월_여자 인구수","2024년01월_남여 비율","2024년02월_총인구수","2024년02월_세대수","2024년02월_세대당 인구","2024년02월_남자 인구수","2024년02월_여자 인구수","2024년02월_남여 비율","2024년03월_총인구수","2024년03월_세대수","2024년03월_세대당 인구","2024년03월_남자 인구수","2024년03월_여자 인구수","2024년03월_남여 비율","2024년04월_총인구수","2024년04월_세대수","2024년04월_세대당 인구","2024년04월_남자 인구수","2024년04월_여자 인구수","2024년04월_남여 비율","2024년05월_총인구수","2024년05월_세대수","2024년05월_세대당 인구","2024년05월_남자 인구수","2024년05월_여자 인구수","2024년05월_남여 비율","2024년06월_총인구수","2024년06월_세대수","2024년06월_세대당 인구","2024년06월_남자 인구수","2024년06월_여자 인구수","2024년06월_남여 비율","2024년07월_총인구수","2024년07월_세대수","2024년07월_세대당 인구","2024년07월_남자 인구수","2024년07월_여자 인구수","2024년07월_남여 비율","2024년08월_총인구수","2024년08월_세대수","2024년08월_세대당 인구","2024년08월_남자 인구수","2024년08월_여자 인구수","2024년08월_남여 비율","2024년09월_총인구수","2024년09월_세대수","2024년09월_세대당 인구","2024년09월_남자 인구수","2024년09월_여자 인구수","2024년09월_남여 비율","2024년10월_총인구수","2024년10월_세대수","2024년10월_세대당 인구","2024년10월_남자 인구수","2024년10월_여자 인구수","2024년10월_남여 비율","2024년11월_총인구수","2024년11월_세대수","2024년11월_세대당 인구","2024년11월_남자 인구수","2024년11월_여자 인구수","2024년11월_남여 비율","2024년12월_총인구수","2024년12월_세대수","2024년12월_세대당 인구","2024년12월_남자 인구수","2024년12월_여자 인구수","2024년12월_남여 비율"
"서울특별시 성동구 (1120000000)","280,707","133,293","          2.11","136,442","144,265","          0.95","280,474","133,517","          2.10","136,361","144,113","          0.95","280,240","133,513","          2.10","136,233","144,007","          0.95","279,980","133,503","          2.10","136,059","143,921","          0.95","279,760","133,551","          2.09","135,931","143,829","          0.95","279,374","133,484","          2.09","135,723","143,651","          0.94","279,142","133,464","          2.09","135,562","143,580","          0.94","278,750","133,433","          2.09","135,346","143,404","          0.94","278,366","133,366","          2.09","135,143","143,223","          0.94","278,035","133,253","          2.09","134,979","143,056","          0.94","277,701","133,178","          2.09","134,760","142,941","          0.94","277,361","133,089","          2.08","134,519","142,842","          0.94","277,090","132,985","          2.08","134,390","142,700","          0.94","276,952","133,197","          2.08","134,278","142,674","          0.94","276,964","133,374","          2.08","134,232","142,732","          0.94","276,847","133,297","          2.08","134,161","142,686","          0.94","276,767","133,325","          2.08","134,096","142,671","          0.94","276,597","133,233","          2.08","133,939","142,658","          0.94","276,194","133,102","          2.08","133,758","142,436","          0.94","275,778","132,969","          2.07","133,520","142,258","          0.94","275,403","132,856","          2.07","133,271","142,132","          0.94","274,966","132,615","          2.07","133,097","141,869","          0.94","274,287","132,248","          2.07","132,769","141,518","          0.94","273,669","131,953","          2.07","132,409","141,260","          0.94"
"서울특별시 성동구 왕십리제2동(1120052000)","16,307","7,406","          2.20","7,847","8,460","          0.93","16,299","7,407","          2.20","7,855","8,444","          0.93","16,284","7,397","          2.20","7,838","8,446","          0.93","16,251","7,386","          2.20","7,820","8,431","          0.93","16,236","7,368","          2.20","7,816","8,420","          0.93","16,204","7,364","          2.20","7,794","8,410","          0.93","16,192","7,382","          2.19","7,788","8,404","          0.93","16,173","7,378","          2.19","7,782","8,391","          0.93","16,160","7,388","          2.19","7,779","8,381","          0.93","16,151","7,388","          2.19","7,776","8,375","          0.93","16,104","7,377","          2.18","7,745","8,359","          0.93","16,095","7,385","          2.18","7,733","8,362","          0.92","16,104","7,405","          2.17","7,744","8,360","          0.93","16,088","7,419","          2.17","7,743","8,345","          0.93","16,064","7,400","          2.17","7,730","8,334","          0.93","16,109","7,419","          2.17","7,748","8,361","          0.93","16,071","7,420","          2.17","7,721","8,350","          0.92","16,071","7,421","          2.17","7,710","8,361","          0.92","16,016","7,416","          2.16","7,686","8,330","          0.92","16,035","7,426","          2.16","7,679","8,356","          0.92","16,031","7,428","          2.16","7,676","8,355","          0.92","16,002","7,418","          2.16","7,653","8,349","          0.92","15,982","7,392","          2.16","7,649","8,333","          0.92","15,950","7,373","          2.16","7,628","8,322","          0.92"
"서울특별시 성동구 왕십리도선동(1120053500)","26,402","12,134","          2.18","12,442","13,960","          0.89","26,401","12,176","          2.17","12,433","13,968","          0.89","26,406","12,185","          2.17","12,436","13,970","          0.89","26,385","12,185","          2.17","12,426","13,959","          0.89","26,423","12,218","          2.16","12,431","13,992","          0.89","26,405","12,224","          2.16","12,416","13,989","          0.89","26,399","12,245","          2.16","12,398","14,001","          0.89","26,391","12,238","          2.16","12,374","14,017","          0.88","26,329","12,216","          2.16","12,340","13,989","          0.88","26,309","12,193","          2.16","12,335","13,974","          0.88","26,277","12,186","          2.16","12,322","13,955","          0.88","26,269","12,184","          2.16","12,314","13,955","          0.88","26,282","12,184","          2.16","12,309","13,973","          0.88","26,307","12,210","          2.15","12,309","13,998","          0.88","26,317","12,209","          2.16","12,319","13,998","          0.88","26,237","12,182","          2.15","12,300","13,937","          0.88","26,198","12,180","          2.15","12,291","13,907","          0.88","26,178","12,168","          2.15","12,281","13,897","          0.88","26,151","12,153","          2.15","12,281","13,870","          0.89","26,148","12,162","          2.15","12,287","13,861","          0.89","26,154","12,163","          2.15","12,291","13,863","          0.89","26,165","12,157","          2.15","12,294","13,871","          0.89","26,105","12,137","          2.15","12,267","13,838","          0.89","26,071","12,128","          2.15","12,239","13,832","          0.88"
"서울특별시 성동구 마장동(1120054000)","22,012","10,897","          2.02","10,859","11,153","          0.97","22,014","10,945","          2.01","10,857","11,157","          0.97","21,959","10,935","          2.01","10,832","11,127","          0.97","21,971","10,940","          2.01","10,838","11,133","          0.97","21,914","10,936","          2.00","10,817","11,097","          0.97","21,864","10,926","          2.00","10,788","11,076","          0.97","21,811","10,910","          2.00","10,748","11,063","          0.97","21,756","10,896","          2.00","10,703","11,053","          0.97","21,731","10,893","          1.99","10,694","11,037","          0.97","21,657","10,877","          1.99","10,668","10,989","          0.97","21,601","10,854","          1.99","10,636","10,965","          0.97","21,573","10,850","          1.99","10,621","10,952","          0.97","21,494","10,812","          1.99","10,561","10,933","          0.97","21,548","10,877","          1.98","10,570","10,978","          0.96","21,543","10,888","          1.98","10,580","10,963","          0.97","21,515","10,863","          1.98","10,557","10,958","          0.96","21,505","10,846","          1.98","10,546","10,959","          0.96","21,482","10,830","          1.98","10,530","10,952","          0.96","21,461","10,820","          1.98","10,527","10,934","          0.96","21,405","10,804","          1.98","10,509","10,896","          0.96","21,382","10,798","          1.98","10,505","10,877","          0.97","21,392","10,794","          1.98","10,514","10,878","          0.97","21,360","10,792","          1.98","10,505","10,855","          0.97","21,344","10,795","          1.98","10,487","10,857","          0.97"
"서울특별시 성동구 사근동(1120055000)","11,934","8,093","          1.47","6,234","5,700","          1.09","12,000","8,176","          1.47","6,285","5,715","          1.10","12,121","8,297","          1.46","6,353","5,768","          1.10","12,100","8,296","          1.46","6,345","5,755","          1.10","12,101","8,310","          1.46","6,341","5,760","          1.10","12,046","8,278","          1.46","6,319","5,727","          1.10","12,012","8,242","          1.46","6,293","5,719","          1.10","12,012","8,253","          1.46","6,307","5,705","          1.11","12,010","8,250","          1.46","6,301","5,709","          1.10","12,008","8,249","          1.46","6,305","5,703","          1.11","12,001","8,231","          1.46","6,302","5,699","          1.11","11,947","8,198","          1.46","6,258","5,689","          1.10","11,865","8,126","          1.46","6,217","5,648","          1.10","11,941","8,215","          1.45","6,248","5,693","          1.10","12,111","8,382","          1.44","6,318","5,793","          1.09","12,127","8,381","          1.45","6,342","5,785","          1.10","12,123","8,375","          1.45","6,339","5,784","          1.10","12,086","8,350","          1.45","6,308","5,778","          1.09","12,055","8,314","          1.45","6,292","5,763","          1.09","12,085","8,334","          1.45","6,312","5,773","          1.09","12,101","8,353","          1.45","6,322","5,779","          1.09","12,072","8,323","          1.45","6,309","5,763","          1.09","12,025","8,273","          1.45","6,281","5,744","          1.09","11,927","8,192","          1.46","6,227","5,700","          1.09"
"서울특별시 성동구 행당제1동(1120056000)","13,683","6,443","          2.12","6,573","7,110","          0.92","13,700","6,456","          2.12","6,585","7,115","          0.93","13,733","6,469","          2.12","6,614","7,119","          0.93","13,700","6,453","          2.12","6,585","7,115","          0.93","13,750","6,469","          2.13","6,602","7,148","          0.92","13,711","6,464","          2.12","6,580","7,131","          0.92","13,724","6,470","          2.12","6,588","7,136","          0.92","13,704","6,471","          2.12","6,575","7,129","          0.92","13,703","6,474","          2.12","6,571","7,132","          0.92","13,702","6,467","          2.12","6,565","7,137","          0.92","13,715","6,463","          2.12","6,580","7,135","          0.92","13,685","6,441","          2.12","6,558","7,127","          0.92","13,719","6,449","          2.13","6,572","7,147","          0.92","13,704","6,455","          2.12","6,564","7,140","          0.92","13,737","6,468","          2.12","6,570","7,167","          0.92","13,723","6,471","          2.12","6,551","7,172","          0.91","13,738","6,493","          2.12","6,562","7,176","          0.91","13,738","6,486","          2.12","6,555","7,183","          0.91","13,720","6,479","          2.12","6,559","7,161","          0.92","13,729","6,491","          2.12","6,558","7,171","          0.91","13,726","6,489","          2.12","6,551","7,175","          0.91","13,756","6,505","          2.11","6,554","7,202","          0.91","13,747","6,506","          2.11","6,555","7,192","          0.91","13,736","6,505","          2.11","6,543","7,193","          0.91"
"서울특별시 성동구 행당제2동(1120057000)","22,999","9,232","          2.49","10,730","12,269","          0.87","22,975","9,234","          2.49","10,719","12,256","          0.87","22,988","9,242","          2.49","10,716","12,272","          0.87","22,990","9,245","          2.49","10,709","12,281","          0.87","22,988","9,257","          2.48","10,707","12,281","          0.87","22,986","9,258","          2.48","10,702","12,284","          0.87","22,988","9,260","          2.48","10,704","12,284","          0.87","22,961","9,266","          2.48","10,701","12,260","          0.87","22,895","9,251","          2.47","10,685","12,210","          0.88","22,910","9,253","          2.48","10,693","12,217","          0.88","22,883","9,241","          2.48","10,681","12,202","          0.88","22,851","9,227","          2.48","10,656","12,195","          0.87","22,848","9,232","          2.47","10,655","12,193","          0.87","22,823","9,238","          2.47","10,646","12,177","          0.87","22,751","9,223","          2.47","10,608","12,143","          0.87","22,756","9,218","          2.47","10,611","12,145","          0.87","22,754","9,220","          2.47","10,611","12,143","          0.87","22,756","9,218","          2.47","10,612","12,144","          0.87","22,746","9,216","          2.47","10,606","12,140","          0.87","22,700","9,199","          2.47","10,577","12,123","          0.87","22,653","9,200","          2.46","10,559","12,094","          0.87","22,637","9,187","          2.46","10,554","12,083","          0.87","22,621","9,187","          2.46","10,552","12,069","          0.87","22,620","9,183","          2.46","10,554","12,066","          0.87"
"서울특별시 성동구 응봉동(1120058000)","15,027","5,950","          2.53","7,145","7,882","          0.91","14,997","5,948","          2.52","7,128","7,869","          0.91","14,953","5,933","          2.52","7,106","7,847","          0.91","14,951","5,937","          2.52","7,110","7,841","          0.91","14,959","5,949","          2.51","7,104","7,855","          0.90","14,957","5,946","          2.52","7,114","7,843","          0.91","14,964","5,947","          2.52","7,113","7,851","          0.91","14,967","5,952","          2.51","7,106","7,861","          0.90","14,983","5,951","          2.52","7,112","7,871","          0.90","14,990","5,952","          2.52","7,113","7,877","          0.90","14,948","5,951","          2.51","7,095","7,853","          0.90","14,941","5,950","          2.51","7,090","7,851","          0.90","14,901","5,940","          2.51","7,072","7,829","          0.90","14,871","5,932","          2.51","7,050","7,821","          0.90","14,861","5,938","          2.50","7,048","7,813","          0.90","14,828","5,933","          2.50","7,028","7,800","          0.90","14,838","5,940","          2.50","7,036","7,802","          0.90","14,831","5,939","          2.50","7,028","7,803","          0.90","14,836","5,941","          2.50","7,027","7,809","          0.90","14,803","5,922","          2.50","7,005","7,798","          0.90","14,808","5,923","          2.50","7,009","7,799","          0.90","14,770","5,922","          2.49","6,998","7,772","          0.90","14,729","5,908","          2.49","6,986","7,743","          0.90","14,723","5,909","          2.49","6,978","7,745","          0.90"
"서울특별시 성동구 금호1가동(1120059000)","15,024","6,530","          2.30","7,175","7,849","          0.91","15,006","6,535","          2.30","7,164","7,842","          0.91","14,982","6,539","          2.29","7,147","7,835","          0.91","14,989","6,548","          2.29","7,142","7,847","          0.91","14,947","6,538","          2.29","7,114","7,833","          0.91","14,937","6,551","          2.28","7,120","7,817","          0.91","14,918","6,542","          2.28","7,104","7,814","          0.91","14,878","6,540","          2.27","7,084","7,794","          0.91","14,849","6,528","          2.27","7,082","7,767","          0.91","14,821","6,522","          2.27","7,069","7,752","          0.91","14,794","6,525","          2.27","7,049","7,745","          0.91","14,745","6,503","          2.27","7,024","7,721","          0.91","14,745","6,498","          2.27","7,022","7,723","          0.91","14,723","6,501","          2.26","7,008","7,715","          0.91","14,699","6,479","          2.27","6,994","7,705","          0.91","14,696","6,475","          2.27","6,991","7,705","          0.91","14,722","6,486","          2.27","7,002","7,720","          0.91","14,705","6,487","          2.27","6,989","7,716","          0.91","14,647","6,467","          2.26","6,963","7,684","          0.91","14,614","6,455","          2.26","6,947","7,667","          0.91","14,612","6,454","          2.26","6,926","7,686","          0.90","14,615","6,444","          2.27","6,923","7,692","          0.90","14,598","6,437","          2.27","6,916","7,682","          0.90","14,580","6,429","          2.27","6,909","7,671","          0.90"
"서울특별시 성동구 금호2.3가동(1120061500)","22,228","9,942","          2.24","10,618","11,610","          0.91","22,202","9,937","          2.23","10,610","11,592","          0.92","22,165","9,922","          2.23","10,604","11,561","          0.92","22,108","9,898","          2.23","10,573","11,535","          0.92","22,073","9,892","          2.23","10,557","11,516","          0.92","22,053","9,882","          2.23","10,544","11,509","          0.92","22,034","9,877","          2.23","10,524","11,510","          0.91","22,011","9,878","          2.23","10,518","11,493","          0.92","21,949","9,871","          2.22","10,482","11,467","          0.91","21,960","9,878","          2.22","10,477","11,483","          0.91","22,009","9,903","          2.22","10,484","11,525","          0.91","21,953","9,893","          2.22","10,446","11,507","          0.91","21,941","9,892","          2.22","10,447","11,494","          0.91","21,885","9,882","          2.21","10,417","11,468","          0.91","21,848","9,863","          2.22","10,377","11,471","          0.90","21,903","9,879","          2.22","10,396","11,507","          0.90","21,856","9,867","          2.22","10,374","11,482","          0.90","21,812","9,851","          2.21","10,364","11,448","          0.91","21,783","9,859","          2.21","10,341","11,442","          0.90","21,755","9,841","          2.21","10,341","11,414","          0.91","21,630","9,792","          2.21","10,279","11,351","          0.91","21,505","9,712","          2.21","10,235","11,270","          0.91","21,323","9,628","          2.21","10,135","11,188","          0.91","21,148","9,554","          2.21","10,052","11,096","          0.91"
