"ym_quarter","dong","move_num","m_move_num","f_move_num","age_20_under_move_num","age_30_move_num","age_40_move_num","age_50_move_num","age_60_over_move_num"
20241,"왕십리제2동",4604436,2048163,2556273,1365160,870941,706222,674692,987421
20241,"왕십리도선동",5531995,2543293,2988702,1747627,1019287,866702,824763,1073615
20241,"마장동",5351322,2623335,2727985,1515456,831022,852415,886837,1265591
20241,"사근동",4040672,1975901,2064772,2199717,506730,402229,396176,535820
20241,"행당제1동",5396953,2555570,2841382,1865816,903970,895323,798990,932854
20241,"행당제2동",4612956,2060730,2552226,1391414,732346,817238,679014,992942
20241,"응봉동",3043683,1349708,1693977,862861,477703,571584,472602,658934
20241,"금호1가동",3191410,1396832,1794579,847512,543816,639875,460857,699350
20241,"금호2.3가동",6727228,3060408,3666820,1781759,1114386,1187326,1036593,1607165
20241,"금호4가동",3282046,1505265,1776782,816326,594327,589036,497214,785145
20241,"옥수동",2942068,1313592,1628477,785125,522310,530110,416854,687671
20241,"성수1가제1동",3077879,1489469,1588410,881942,703512,488429,457027,546969
20241,"성수1가제2동",5608309,2734126,2874184,1730950,1341744,996193,734007,805417
20241,"성수2가제1동",5257366,2670943,2586423,1371222,1020110,818526,926619,1120890
20241,"성수2가제3동",5619058,2842344,2776715,1744587,1280692,985816,779735,828230
20241,"송정동",3003507,1522249,1481259,935500,565857,492585,418361,591205
20241,"용답동",3481166,1703369,1777796,991173,592260,522265,575595,799873
20242,"왕십리제2동",4358466,1916084,2442382,1262598,842870,678999,641496,932502
20242,"왕십리도선동",5473755,2487952,2985802,1702451,1004744,878711,823238,1064610
20242,"마장동",5141213,2495097,2646116,1499991,798050,802157,841750,1199267
20242,"사근동",4367785,2101352,2266432,2598006,506024,386655,369192,507906
20242,"행당제1동",5510045,2581582,2928464,2029185,913997,886047,779801,901016
20242,"행당제2동",4610806,2045102,2565705,1390750,731269,819343,681423,988022
20242,"응봉동",3001973,1330819,1671154,869653,469561,558794,463011,640954
20242,"금호1가동",3021708,1313178,1708529,777458,527347,608935,447820,660147
20242,"금호2.3가동",6391231,2902198,3489033,1647171,1073268,1132306,1001066,1537419
20242,"금호4가동",3102044,1414112,1687933,761371,569098,551408,470358,749810
20242,"옥수동",2867952,1290372,1577578,797015,497426,519172,399001,655336
