"ym_quarter","dong","big_ind","store_cnt","sim_store_cnt","open_rat","open_cnt","close_rat","close_cnt","franchise_cnt"
20231,"금호1가동","한식음식점",16,18,0,0,11,2,2
20231,"금호1가동","중식음식점",1,4,0,0,0,0,3
20231,"금호1가동","일식음식점",4,4,0,0,0,0,0
20231,"금호1가동","양식음식점",8,8,0,0,13,1,0
20231,"금호1가동","제과점",2,3,0,0,0,0,1
20231,"금호1가동","패스트푸드점",1,5,0,0,80,4,4
20231,"금호1가동","치킨전문점",3,7,0,0,0,0,4
20231,"금호1가동","분식전문점",10,12,8,1,8,1,2
20231,"금호1가동","호프-간이주점",6,7,0,0,0,0,1
20231,"금호1가동","커피-음료",17,21,10,2,0,0,4
20231,"금호1가동","슈퍼마켓",9,11,9,1,9,1,2
20231,"금호1가동","미곡판매",4,4,0,0,0,0,0
20231,"금호1가동","육류판매",4,4,0,0,0,0,0
20231,"금호1가동","수산물판매",3,3,0,0,0,0,0
20231,"금호1가동","청과상",7,7,0,0,14,1,0
20231,"금호1가동","반찬가게",4,4,0,0,25,1,0
20231,"금호2.3가동","한식음식점",100,112,0,0,1,1,12
20231,"금호2.3가동","중식음식점",7,8,0,0,0,0,1
20231,"금호2.3가동","일식음식점",5,6,0,0,0,0,1
20231,"금호2.3가동","양식음식점",19,20,5,1,0,0,1
20231,"금호2.3가동","제과점",9,12,0,0,0,0,3
20231,"금호2.3가동","패스트푸드점",1,11,0,0,0,0,10
20231,"금호2.3가동","치킨전문점",9,19,0,0,0,0,10
20231,"금호2.3가동","분식전문점",14,18,6,1,0,0,4
20231,"금호2.3가동","호프-간이주점",27,28,7,2,4,1,1
20231,"금호2.3가동","커피-음료",25,30,10,3,13,4,5
20231,"금호2.3가동","슈퍼마켓",14,18,0,0,6,1,4
20231,"금호2.3가동","미곡판매",3,3,0,0,0,0,0
20231,"금호2.3가동","육류판매",14,14,0,0,0,0,0
20231,"금호2.3가동","수산물판매",5,5,0,0,0,0,0
20231,"금호2.3가동","청과상",5,5,0,0,0,0,0
20231,"금호2.3가동","반찬가게",13,13,8,1,15,2,0
20231,"금호4가동","한식음식점",48,52,0,0,10,5,4
20231,"금호4가동","중식음식점",4,5,20,1,0,0,1
20231,"금호4가동","일식음식점",5,5,0,0,0,0,0
20231,"금호4가동","양식음식점",6,6,0,0,0,0,0
20231,"금호4가동","제과점",5,9,11,1,0,0,4
20231,"금호4가동","패스트푸드점",3,7,14,1,0,0,4
20231,"금호4가동","치킨전문점",2,9,0,0,0,0,7
20231,"금호4가동","분식전문점",6,11,0,0,0,0,5
20231,"금호4가동","호프-간이주점",19,19,11,2,0,0,0
20231,"금호4가동","커피-음료",19,25,0,0,4,1,6
20231,"금호4가동","슈퍼마켓",7,9,0,0,0,0,2
20231,"금호4가동","미곡판매",1,1,0,0,0,0,0
20231,"금호4가동","육류판매",2,2,0,0,0,0,0
20231,"금호4가동","수산물판매",1,1,0,0,0,0,0
20231,"금호4가동","청과상",6,6,0,0,0,0,0
20231,"금호4가동","반찬가게",3,3,0,0,0,0,0
20231,"마장동","한식음식점",119,124,2,2,2,2,5
20231,"마장동","중식음식점",7,7,0,0,14,1,0
20231,"마장동","일식음식점",3,3,0,0,0,0,0
20231,"마장동","양식음식점",4,5,0,0,0,0,1
20231,"마장동","제과점",2,4,25,1,0,0,2
20231,"마장동","패스트푸드점",4,6,0,0,0,0,2
20231,"마장동","치킨전문점",2,11,0,0,0,0,9
